Number Correct : 48325
Number Total : 56824
Percent : 85.04329156694355
Confusion matrix:
Predicted  #    $   ''   (   )     ,     .    :    CC    CD    DT  EX  FW    IN    JJ  JJR  JJS  LS   MD    NN   NNP  NNPS   NNS  PDT  POS   PRP  PRP$    RB  RBR  RBS  RP  SYM    TO  UH    VB   VBD  VBG  VBN  VBP   VBZ  WDT   WP  WP$  WRB   ``
RBR        0    0    0   0   0     0     0    0     0     0     0   0   0     0     0   59    0   0    0     2     0     0     0    0    0     0     0     1   48    0   0    0     0   0     0     0    0    0    0     0    0    0    0    0    0
RBR|JJR    0    0    0   0   0     0     0    0     0     0     0   0   0     0     0    0    0   0    0     0     0     0     0    0    0     0     0     0    2    0   0    0     0   0     0     0    0    0    0     0    0    0    0    0    0
RBS        0    0    0   0   0     0     0    0     0     0     0   0   0     0     0    0   13   0    0     0     0     0     0    0    0     0     0     0    0   17   0    0     0   0     0     0    0    0    0     0    0    0    0    0    0
RB|JJ      0    0    0   0   0     0     0    0     0     0     0   0   0     0     1    0    0   0    0     1     0     0     0    0    0     0     0     0    0    0   0    0     0   0     0     0    0    0    0     0    0    0    0    0    0
RP         0    0    0   0   0     0     0    0     0     0     0   0   0    54     0    0    0   0    0     2     0     0     0    0    0     0     0    25    0    0  96    0     0   0     0     0    0    0    0     0    0    0    0    0    0
SYM        0    0    0   0   0     0     0    0     0     0     0   0   0     0     0    0    0   0    0     1     0     0     0    0    0     0     0     0    0    0   0    0     0   0     0     0    0    0    0     0    0    0    0    0    0
TO         0    0    0   0   0     0     0    0     0     0     0   0   0     0     0    0    0   0    0     0     0     0     0    0    0     0     0     0    0    0   0    0  1245   0     0     0    0    0    0     0    0    0    0    0    0
UH         0    0    0   0   0     0     0    0     0     0     1   0   0     0     0    0    0   0    0     4     0     0     0    0    0     0     0     3    0    0   0    0     0   0     0     0    0    0    0     0    0    0    0    0    0
VB         0    0    0   0   0     0     0    0     0     0     0   0   0     0    11    1    0   0    0   295     0     0     0    0    0     0     0     1    0    0   0    0     0   0  1172     4    0    3  102     0    0    0    0    0    0
VBD        0    0    0   0   0     0     0    0     0     0     0   0   0     0     2    0    0   0    0   142     0     0     0    0    0     0     0     0    0    0   0    0     0   0     2  1488    0  202    1     0    0    0    0    0    0
VBG        0    0    0   0   0     0     0    0     0     0     0   0   0     0     3    0    0   0    0   273     0     0     0    0    0     0     0     0    0    0   0    0     0   0     0     0  541    0    0     0    0    0    0    0    0
VBG|NN     0    0    0   0   0     0     0    0     0     0     0   0   0     0     0    0    0   0    0     1     0     0     0    0    0     0     0     0    0    0   0    0     0   0     0     0    0    0    0     0    0    0    0    0    0
VBN        0    0    0   0   0     0     0    0     0     0     0   0   0     0    11    0    0   0    0   202     0     0     0    0    0     0     0     0    0    0   0    0     0   0     3   133    0  749    0     0    0    0    0    0    0
VBN|JJ     0    0    0   0   0     0     0    0     0     0     0   0   0     0     0    0    0   0    0     0     0     0     0    0    0     0     0     0    0    0   0    0     0   0     0     0    0    2    0     0    0    0    0    0    0
VBP        0    0    0   0   0     0     0    0     0     0     0   0   0     0     4    0    0   0    0    80     1     0     0    0    0     0     0     0    0    0   0    0     0   0    60     0    0    7  650     0    0    0    0    0    0
VBZ        0    0    0   0   0     0     0    0     0     0     0   0   0     0     0    0    0   0    0   100     0     0    34    0   11     0     0     0    0    0   0    0     0   0     0     0    0    0    0  1091    0    0    0    0    0
WDT        0    0    0   0   0     0     0    0     0     0     2   0   0   122     0    0    0   0    0     2     0     0     0    0    0     0     0     0    0    0   0    0     0   0     0     0    0    0    0     0  153    1    0    0    0
WP         0    0    0   0   0     0     0    0     0     0     0   0   0     0     0    0    0   0    0     0     0     0     0    0    0     0     0     0    0    0   0    0     0   0     0     0    0    0    0     0    0  111    0    0    0
WP$        0    0    0   0   0     0     0    0     0     0     0   0   0     0     0    0    0   0    0     0     0     0     0    0    0     0     0     0    0    0   0    0     0   0     0     0    0    0    0     0    0    0   21    0    0
WRB        0    0    0   0   0     0     0    0     0     0     0   0   0     0     0    0    0   0    0     1     0     0     0    0    0     0     0     1    0    0   0    0     0   0     0     0    0    0    0     0    0    0    0  131    0
``         0    0    0   0   0     0     0    0     0     0     0   0   0     0     0    0    0   0    0     0     0     0     0    0    0     0     0     0    0    0   0    0     0   0     0     0    0    0    0     0    0    0    0    0  535
